gene_symbol	ncbi_gene	ensembl_gene	db_gene_symbol	db_ncbi_gene	db_ensembl_gene	source_gene	gs_id	gs_name	gs_collection	gs_subcollection	gs_collection_name	gs_description	gs_source_species	gs_pmid	gs_geoid	gs_exact_source	gs_url	db_version	db_target_species	ortholog_taxon_id	ortholog_sources	num_ortholog_sources	Selected_Ensembl_ID
ADIG	510677	ENSBTAG00000031188	ADIG	149685	ENSG00000182035	ADIG	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|Panther|PhylomeDB	8	ENSBTAG00000031188
ADIPOQ	282865	ENSBTAG00000052213	ADIPOQ	9370	ENSG00000181092	ADIPOQ	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	Ensembl|OMA|OrthoDB|Panther	4	ENSBTAG00000052213
ADIPOR2	407234	ENSBTAG00000009050	ADIPOR2	79602	ENSG00000006831	ADIPOR2	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000009050
AGPAT3	506607	ENSBTAG00000020456	AGPAT3	56894	ENSG00000160216	AGPAT3	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000020456
AIFM1	535714	ENSBTAG00000006838	AIFM1	9131	ENSG00000156709	AIFM1	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000006838
AK2	280716	ENSBTAG00000017605	AK2	204	ENSG00000004455	AK2	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther	7	ENSBTAG00000017605
ALDH2	508629	ENSBTAG00000008743	ALDH2	217	ENSG00000111275	ALDH2	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB	8	ENSBTAG00000008743
ALDOA	509566	ENSBTAG00000012927	ALDOA	226	ENSG00000149925	ALDOA	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|Panther	6	ENSBTAG00000012927
ANGPT1	282140	ENSBTAG00000014051	ANGPT1	284	ENSG00000154188	ANGPT1	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000014051
ANGPTL4	509963	ENSBTAG00000002473	ANGPTL4	51129	ENSG00000167772	ANGPTL4	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000002473
APLP2	785005	ENSBTAG00000016168	APLP2	334	ENSG00000084234	APLP2	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther	7	ENSBTAG00000016168
APOE	281004	ENSBTAG00000010123	APOE	348	ENSG00000130203	APOE	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000010123
ARAF	540421	ENSBTAG00000005039	ARAF	369	ENSG00000078061	ARAF	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	8	ENSBTAG00000005039
ARL4A	767906	ENSBTAG00000002869	ARL4A	10124	ENSG00000122644	ARL4A	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther	7	ENSBTAG00000002869
ATL2	100140212	ENSBTAG00000016167	ATL2	64225	ENSG00000119787	ATL2	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000016167
ATP1B3	532844	ENSBTAG00000014140	ATP1B3	483	ENSG00000069849	ATP1B3	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000014140
ATP5PO	281640	ENSBTAG00000018278	ATP5PO	539	ENSG00000241837	ATP5O	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	9	ENSBTAG00000018278
BAZ2A	509799	ENSBTAG00000017840	BAZ2A	11176	ENSG00000076108	BAZ2A	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|Panther	6	ENSBTAG00000017840
BCKDHA	282149	ENSBTAG00000016037	BCKDHA	593	ENSG00000248098	BCKDHA	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	8	ENSBTAG00000016037
BCL2L13	617809	ENSBTAG00000013956	BCL2L13	23786	ENSG00000099968	BCL2L13	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OrthoDB|Treefam	7	ENSBTAG00000013956
BCL6	539020	ENSBTAG00000001511	BCL6	604	ENSG00000113916	BCL6	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000001511
C3	280677	ENSBTAG00000017280	C3	718	ENSG00000125730	C3	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000017280
CAT	531682	ENSBTAG00000020980	CAT	847	ENSG00000121691	CAT	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000020980
CAVIN1	538457	ENSBTAG00000039684	CAVIN1	284119	ENSG00000177469	PTRF	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|NCBI|OMA|OrthoDB|Panther|Treefam	8	ENSBTAG00000039684
CAVIN2	532333	ENSBTAG00000018497	CAVIN2	8436	ENSG00000168497	SDPR	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	9	ENSBTAG00000018497
CCNG2	512960	ENSBTAG00000021768	CCNG2	901	ENSG00000138764	CCNG2	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther	7	ENSBTAG00000021768
CD151	523328	ENSBTAG00000019569	CD151	977	ENSG00000177697	CD151	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther	7	ENSBTAG00000019569
CD302	100126272	ENSBTAG00000038195	CD302	9936	ENSG00000241399	CD302	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|Panther	6	ENSBTAG00000038195
CD36	281052	ENSBTAG00000017866	CD36	948	ENSG00000135218	CD36	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	9	ENSBTAG00000017866
CDKN2C	505691	ENSBTAG00000011059	CDKN2C	1031	ENSG00000123080	CDKN2C	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000011059
CHCHD10	615846	ENSBTAG00000022032	CHCHD10	400916	ENSG00000250479	CHCHD10	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OrthoDB|Panther|Treefam	8	ENSBTAG00000022032
CHUK	281073	ENSBTAG00000007591	CHUK	1147	ENSG00000213341	CHUK	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000007591
CIDEA	527051	ENSBTAG00000046547	CIDEA	1149	ENSG00000176194	CIDEA	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|NCBI|OMA|OrthoDB|Panther	6	ENSBTAG00000046547
CMBL	516405	ENSBTAG00000010801	CMBL	134147	ENSG00000164237	CMBL	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000010801
CMPK1	509965	ENSBTAG00000019956	CMPK1	51727	ENSG00000162368	CMPK1	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther	7	ENSBTAG00000019956
COL15A1	100139730	ENSBTAG00000010082	COL15A1	1306	ENSG00000204291	COL15A1	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|Panther|Treefam	8	ENSBTAG00000010082
COL4A1	282191	ENSBTAG00000012849	COL4A1	1282	ENSG00000187498	COL4A1	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|NCBI|OMA|Panther|Treefam	7	ENSBTAG00000012849
COQ3	540298	ENSBTAG00000019729	COQ3	51805	ENSG00000132423	COQ3	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther	7	ENSBTAG00000019729
COQ5	533208	ENSBTAG00000015761	COQ5	84274	ENSG00000110871	COQ5	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000015761
COQ9	529282	ENSBTAG00000001855	COQ9	57017	ENSG00000088682	COQ9	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000001855
COX6A1	282199	ENSBTAG00000012788	COX6A1	1337	ENSG00000111775	COX6A1	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	Ensembl|NCBI|OMA|OrthoDB|Panther|Treefam	6	ENSBTAG00000012788
COX7B	100300550	ENSBTAG00000047768	COX7B	1349	ENSG00000131174	COX7B	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther	7	ENSBTAG00000047768
COX8A	281091	ENSBTAG00000052272	COX8A	1351	ENSG00000176340	COX8A	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB	8	ENSBTAG00000052272
CPT2	504502	ENSBTAG00000014649	CPT2	1376	ENSG00000157184	CPT2	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000014649
CRAT	512902	ENSBTAG00000001932	CRAT	1384	ENSG00000095321	CRAT	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	9	ENSBTAG00000001932
CS	280682	ENSBTAG00000004371	CS	1431	ENSG00000062485	CS	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB	8	ENSBTAG00000004371
CYC1	512500	ENSBTAG00000012232	CYC1	1537	ENSG00000179091	CYC1	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000012232
CYP4B1	540149	ENSBTAG00000011976	CYP4B1	1580	ENSG00000142973	CYP4B1	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther	7	ENSBTAG00000011976
DBT	280759	ENSBTAG00000006320	DBT	1629	ENSG00000137992	DBT	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB	8	ENSBTAG00000006320
DDT	615999	ENSBTAG00000022027	DDT	1652	ENSG00000099977	DDT	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|Inparanoid|OMA|Panther|PhylomeDB|Treefam	7	ENSBTAG00000022027
DECR1	509952	ENSBTAG00000019663	DECR1	1666	ENSG00000104325	DECR1	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000019663
DGAT1	282609	ENSBTAG00000026356	DGAT1	8694	ENSG00000185000	DGAT1	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000026356
DHCR7	514745	ENSBTAG00000016465	DHCR7	1717	ENSG00000172893	DHCR7	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB	8	ENSBTAG00000016465
DHRS7	514044	ENSBTAG00000020729	DHRS7	51635	ENSG00000100612	DHRS7	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000020729
DHRS7B	522283	ENSBTAG00000010559	DHRS7B	25979	ENSG00000109016	DHRS7B	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther	7	ENSBTAG00000010559
DLAT	512723	ENSBTAG00000010709	DLAT	1737	ENSG00000150768	DLAT	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|NCBI|OMA|OrthoDB|Panther|Treefam	7	ENSBTAG00000010709
DLD	533910	ENSBTAG00000001908	DLD	1738	ENSG00000091140	DLD	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000001908
DNAJB9	614588	ENSBTAG00000046588	DNAJB9	4189	ENSG00000128590	DNAJB9	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000046588
DNAJC15	618047	ENSBTAG00000034785	DNAJC15	29103	ENSG00000120675	DNAJC15	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000034785
DRAM2	767922	ENSBTAG00000009888	DRAM2	128338	ENSG00000156171	DRAM2	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther	7	ENSBTAG00000009888
ECH1	507431	ENSBTAG00000016313	ECH1	1891	ENSG00000104823	ECH1	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000016313
ECHS1	281748	ENSBTAG00000017710	ECHS1	1892	ENSG00000127884	ECHS1	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|Panther|Treefam	8	ENSBTAG00000017710
ELMOD3	535421	ENSBTAG00000021935	ELMOD3	84173	ENSG00000115459	ELMOD3	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	8	ENSBTAG00000021935
ELOVL6	533333	ENSBTAG00000010564	ELOVL6	79071	ENSG00000170522	ELOVL6	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|NCBI|OMA|OrthoDB|Panther	6	ENSBTAG00000010564
